Kean,0.00,0,10
Pessina,5.33,3,13
Akpa Akpro,0.00,0,2
Bennacer,0.00,0,9
Garritano,6.50,1,3
Bove,6.00,2,6
Calhanoglu,7.67,3,17
Adli,0.00,0,1
Asllani,0.00,0,3
Belardinelli,0.00,0,1
Blin,6.00,2,6
Bohinen,5.75,2,4
Fabbian,10.00,1,6
Baldanzi,5.67,3,14
Candreva,8.67,3,17
Duncan,11.00,1,6
Jankto,6.00,3,8
Bajrami,6.00,3,13
Barella,6.17,3,20
Ilic,5.83,3,12
Deiola,6.00,1,4
Barak,0.00,0,11
Aouar,7.17,3,16
Carboni V.,0.00,0,1
Aebischer,5.83,3,6
Cristante,6.17,3,10
El Shaarawy,6.17,3,16
Faticanti,0.00,0,1
Baez,6.00,3,4
Gonzalez J.,5.33,3,6
Ederson D.s.,8.00,3,12
Elmas,6.00,1,14
Cajuste,4.50,1,6
Klaassen,0.00,0,9
Gagliardini,6.00,3,7
Folorunsho,5.83,3,3
Hrustic,0.00,0,2
Castillejo,0.00,0,5
Bondo,,,
Bourabia,0.00,0,4
El Azzouzi,6.00,1,1
Infantino,5.50,1,4
Joselito,0.00,0,1
Iling Junior,6.75,2,5
Ciurria,6.17,3,14
Amatucci,5.50,1,2
Kaba,5.33,3,5
Fagioli,5.50,2,12
Badelj,5.50,3,5
Ikone',0.00,0,12
Gaetano,0.00,0,2
Gelli,5.83,3,3
Musah,6.00,1,9
Ferguson,7.17,3,18
Frattesi,6.00,2,17
Demme,0.00,0,1
Chukwueze,6.00,3,19
Linetty,5.67,3,6
Guendouzi,6.50,1,13
Weah,6.00,2,10
Maleh,5.00,1,4
Orsolini,4.67,3,19
Rovella,0.00,0,4
Haas,5.00,1,3
Nicolussi Caviglia,0.00,0,1
Machin,6.00,2,6
Loftus-Cheek,6.67,3,14
Isaksen,5.50,2,11
Gudmundsson A.,6.33,3,14
Fazzini,5.50,2,5
Sabiri,0.00,0,8
Ramadani,6.33,3,7
Mancosu,0.00,0,6
Tchatchoua,0.00,0,4
Reinier,0.00,0,8
Oristanio,5.83,3,5
Sensi,0.00,0,6
Mandragora,6.83,3,10
Messias,0.00,0,8
Koopmeiners,6.67,3,24
Walace,5.50,3,6
Davis K.,0.00,0,10
Renato Sanches,6.00,1,12
Miretti,5.50,2,5
Bonazzoli,7.17,3,8
Brescianini,6.00,2,6
Colombo,5.50,1,9
Adopo,7.50,1,3
De Ketelaere,7.83,3,9
Paredes,5.83,3,7
Viola,0.00,0,1
Lopez M.,4.50,2,7
Racic,6.00,1,4
Brekalo,6.00,3,11
Mkhitaryan,6.17,3,13
Muriel,6.00,1,13
Krunic,6.17,3,7
Lipani,0.00,0,1
Cataldi,6.00,3,8
Petagna,6.00,1,12
Boloca,5.25,2,5
Moro N.,6.00,3,7
Frendrup,6.33,3,7
Beltran L.,5.75,2,15
Nandez,6.33,3,8
Zarraga,5.00,1,2
Rog,0.00,0,1
Obiang,0.00,0,2
Sottil,5.83,3,8
Ekong,0.00,0,1
Marin,5.83,3,8
Gyasi,5.25,2,7
Mboula,5.50,2,9
Barrenechea,6.00,2,3
Strefezza,6.83,3,18
Lauriente',6.83,3,21
Gineitis,0.00,0,1
Pasalic,5.50,1,13
Belotti,9.00,3,12
Kovalenko,5.50,1,4
Politano,7.50,3,15
Vignato S.,5.50,1,2
Kallon,0.00,0,1
Miranchuk,0.00,0,9
Vecino,5.75,2,6
Pulisic,9.00,3,20
Caputo,5.67,3,14
Brenner,0.00,0,10
Tameze,6.00,1,8
Maldini,0.00,0,4
Kvernadze,5.50,1,3
Pagano,0.00,0,1
Burnete,6.00,1,1
Jagiello,5.00,1,2
Lucca,6.33,3,7
Luvumbo,7.33,3,9
Arnautovic,6.67,3,23
Milik,6.50,3,18
